id,archive_by_user,city,created_at,desc,image_count,mileage,platform,price,title,type,year
44,True,Tehran,Friday 05AM,رنگ مشکی . یک ماه کارکرد. بدون هیچ خط و خش . گارانتی مایکروتل. ور حد اک,3,NA,mobile,1800000,گوشی گلکسی نوت$NUMgb. تک سیم کارت,NA,NA
180,False,Tehran,Monday 02PM,"گوشی در حد نو میباشد  بدون کوچکترین خط و خش  با کارتون و متعلقات, برا خرید فقط پیام و تلگرام",3,NA,mobile,360000,گوشی هوآوی آنر 4c,NA,NA
648,True,Ahvaz,Thursday 04PM,"گوشی دو ماه کارکرده تمیییز اس..قیمت ۴۵۰ مقطووع 

سری اول میباشد",1,NA,mobile,450000,گوشی j5 2015,NA,NA
883,False,Karaj,Thursday 05AM,"گوشی خیلی تمیزه 
به همراه گلس
ای فیس 
بامپر
هنسفری باز نشدهًًً'
باتشکر از سایت خوب دیوار",0,NA,mobile,14800000,Iphon. ايفون ١٦ گلد,NA,NA
1073,True,Tehran,Wednesday 10PM,"باسلام،
گوشی ١هفتس کار کرده و در حد اکه، ضد ضربه و ضد آب .با تمام وسایل کامل
 با تشکر از مدیریت دیوار",2,NA,mobile,-1,گوشی کاترپیلار B25,NA,NA
1129,True,Tehran,Thursday 02PM,"درحد با لوازم کامل
دور تا دور سالم حتی بدون یک خط",2,NA,mobile,950000,samsung a5 2016,NA,NA
1293,True,Kermanshah,Monday 06PM,"گوشی از هر لحاظ سالمه 
آنتیک و کلکسیونی 

شارژر هم داره
  
قیمت مقطوع مقطوع مقطوع

برای خرید  فقط تماس بگیرید 
پیام ندید   شارژ ندارم که جواب بدم",2,NA,mobile,60000,گوشی زیمنس,NA,NA
1567,False,Tehran,Friday 02AM,"32 گیگ | 4G | رنگ : تیتانیوم | دو سیم | 2 سال خدمات گارانتی | فول پک همراه با Q-COVER & PROTECTION FILM ، CAM PLUS 
دو ماه کار کرده کاملا سالمه سالمه +  هدست استریو بی سیم ال جی مدل Tone Platinum HBS$NUM
$NUM
قیمت مقطوع مقطوع، بدون معاوضه و اصلا جدا نمی فروشم  و برای خودم همش$NUMتموم شده",0,NA,mobile,2000000,Lg G5+LG HBS-1100 Headset,NA,NA
1749,True,Tehran,Sunday 03AM,ال سی دی تعویض شده،لوازم با جعبه,5,NA,mobile,900000,Z5 Premium,NA,NA
1847,False,Shiraz,Friday 05PM,"سالم و تمیز 
دوربین 8 
عالی",0,NA,mobile,-1,سونی L مشکی تمیز,NA,NA
1937,True,Mashhad,Monday 08AM,این گوشی دارای اندروید 2.3 می باشد دارای سخت افزار قوی است و دوربین ۵ مگا پیکسل,2,NA,mobile,180000,گلکسی ace,NA,NA
2057,True,Qom,Saturday 01PM,"باسلام
ایفون٦رنگ مشکی
١٦گیگ سالم سالم 
بسیارتمیزبدونه خط وخش وضربه
اصلیLLAبه شرط کارشناسی
کارتن ولوازم کامل واصلی
لیبل گلس وگارد
تخفیف:::مشتری واقعی پای معامله انشاالله
باتشکر",1,NA,mobile,1450000,iphone6(16)gray,NA,NA
